Author Name,Author Affiliation,Country,Article No.,h-index
Bing Mei,Henan University,cn,46,
Xiaoyu Yue,University of Auckland,New Zealand,46,10
Kuo-Liang,National Tsing Hua University,tw,47,
Yao-Hui Liu,National Tsing Hua University,tw,47,
Wernhuar Tarng,National Tsing Hua University,tw,47,
Martin Krajčovič,University of Žilina,sk,48,18
Gabriela Gabajová,University of Žilina,sk,48,6
Marián Matys,University of Žilina,sk,48,
Beáta Furmannová,University of Žilina,sk,48,
Ľuboslav Dulina,University of Žilina,sk,48,
Lia Ma,East China Jiaotong University,cn,49,
Laura E. Reevesa,Solent University Southhampton,gb,50,
Edward Boltonb,Solent University Southhampton,gb,50,
Matthew Bulpitta,Solent University Southhampton,gb,50,
Alex Scotta,Solent University Southhampton,gb,50,
Ian Tomeyc,Solent University Southhampton,gb,50,
Micah Gatesc,Solent University Southhampton,gb,50,
Robert A. Baldockd*,Solent University Southhampton,gb,50,
Michelle O'Connor,University College Dublin,ie,51,
John Stowe,University College Dublin,ie,51,
Jaka Potocnik,University College Dublin,ie,51,
Nicola Giannotti,University College Dublin,ie,51,5
Shauna Murphy,University College Dublin,ie,51,
Louise Rainford,University College Dublin,ie,51,
Qianli Xiong,Shanghai University of Sport,cn,52,
Wazid Michalak,International Ataturk Alatoo University,Kyrgyzstan,52,
Sunita Ariali,University of Stuttgart,de,53,
Bernd Zinn,University of Stuttgart,de,53,14
Mian Usman Sattar,my University of Science and Technology,my,54,6
Sellappan Palaniappan,my University of Science and Technology,my,54,24
Asiah Lokman,my University of Science and Technology,my,54,
Atif Hassan,University of Management and Technology,pk,54,
Nauman Shah,University of Management and Technology,pk,54,
Zurabia Riaz,University of Management and Technology,pk,54,
Youyang Xin,Huanghuai University,cn,55,
Sinem Aslan,Intel Corporation,us,56,18
Ankur Agrawal,Unity Technologies,us,56,5
Nese Alyuz,Intel Corporation,us,56,18
Rebecca Chierichetti,Intel Corporation,us,56,
Lenitra M. Durham,Intel Corporation,us,56,
Ramesh Manuvinakurike,Intel Corporation,us,56,
Eda Okur,Intel Corporation,us,56,
Saurav Sahay,Intel Corporation,us,56,
Sangita Sharma,Intel Corporation,us,56,
John Sherry,Intel Corporation,us,56,
Giuseppe Raffa,Intel Corporation,us,56,
Lama Nachman,Intel Corporation,us,56,
James D. Pickering,University of Leeds,gb,57,18
Antoniou Panagiotis,Aristotle University of Thessaloniki,Greece,57,
